"","x"
"1131","CDK2"
"1132","SMUG1"
"1133","EEF1AKMT3"
"1134","NDUFAF4"
"1135","RAB9A"
"1136","METTL8"
"1137","TNFAIP6"
"1138","LPGAT1"
"1139","EXOSC9"
"1140","B9D2"
"1141","COQ8B"
"1142","RAB38"
"1143","MXD4"
"1144","CHPF"
"1145","DNPEP"
"1146","SLC12A4"
"1147","ENKD1"
"1148","WFDC3"
"1149","TTPAL"
"1150","NCOA3"
"1151","TOX2"
"1152","STX16"
"1153","PMEPA1"
"1154","BCAS4"
"1155","NEURL2"
"1156","MTRR"
"1157","IQSEC2"
"1158","MCEE"
"1159","TRERF1"
"1160","BTN2A2"
"1161","SIRT5"
"1162","RRP36"
"1163","NQO2"
"1164","OARD1"
"1165","H2BC11"
"1166","KLHDC3"
"1167","CDKN1A"
"1168","GLO1"
"1169","SSR1"
"1170","LRRFIP1"
"1171","EMC3"
"1172","BBS2"
"1173","ABCC4"
"1174","DMAC2L"
"1175","BMP4"
"1176","SOX9"
"1177","HS3ST3B1"
"1178","GGA3"
"1179","NUP85"
"1180","NT5C"
"1181","MSTO1"
"1182","MBOAT7"
"1183","SLC2A4RG"
"1184","POLR1B"
"1185","SLC25A23"
"1186","GTF2F1"
"1187","RTN2"
"1188","VASP"
"1189","RBCK1"
"1190","TMX4"
"1191","NRSN2"
"1192","RRBP1"
"1193","BMP2"
"1194","DSTN"
"1195","MRPS26"
"1196","NECAB3"
"1197","MMP24OS"
"1198","HECTD3"
"1199","LRFN3"
"1200","UBA2"
"1201","PRDX5"
"1202","IRF3"
"1203","STAT5A"
"1204","AHDC1"
"1205","IFI6"
"1206","UXT"
"1207","ATG14"
"1208","SIX1"
"1209","RHOJ"
"1210","ZBTB1"
"1211","SGPP1"
"1212","PLEKHG3"
"1213","NUP214"
"1214","ARMCX1"
"1215","ZC4H2"
"1216","INTS11"
"1217","HIVEP3"
"1218","COX7C"
"1219","PLAAT1"
"1220","RAB3IP"
"1221","DYRK2"
"1222","FGFRL1"
"1223","PIN1"
"1224","AAMP"
"1225","GNG11"
"1226","SEM1"
"1227","POR"
"1228","STYXL1"
"1229","GNAI1"
"1230","ZFP36"
"1231","RASL11B"
"1232","ADM2"
"1233","ASPHD2"
"1234","YWHAH"
"1235","A4GALT"
"1236","TPST2"
"1237","MPST"
"1238","TST"
"1239","LIF"
"1240","KRT17"
"1241","EMC4"
"1242","LSM8"
"1243","VGF"
"1244","PODXL"
"1245","MKLN1"
"1246","FLNC"
"1247","CALU"
"1248","CCDC136"
"1249","LRRC17"
"1250","MRPS12"
"1251","MYO1B"
"1252","MTX2"
"1253","ORMDL1"
"1254","EIF2AK4"
"1255","MINDY2"
"1256","CHAC1"
"1257","VPS13C"
"1258","LOXL1"
"1259","ANAPC13"
"1260","PALLD"
"1261","DCTD"
"1262","USP6"
"1263","CD68"
"1264","TXNDC17"
"1265","PHF20L1"
"1266","MTUS1"
"1267","BCL2L2"
"1268","AJUBA"
"1269","DTD2"
"1270","MIS18BP1"
"1271","REEP5"
"1272","RHBDF2"
"1273","TTI2"
"1274","CDKN1C"
"1275","PLPPR3"
"1276","GAMT"
"1277","ECSIT"
"1278","CNN1"
"1279","CDC16"
"1280","LRCH2"
"1281","FAM98C"
"1282","BST2"
"1283","SLC27A1"
"1284","MRPL34"
"1285","MTRES1"
"1286","AFDN"
"1287","ACTN4"
"1288","ARPC1B"
"1289","PXDN"
"1290","GDF15"
"1291","UBAC1"
"1292","HELZ2"
"1293","CEP85"
"1294","OSBPL2"
"1295","CHMP2A"
"1296","UBE2M"
"1297","YIPF2"
"1298","SESN2"
"1299","MED18"
"1300","SHFL"
"1301","SLC6A8"
"1302","PLXNA3"
"1303","ZNF331"
"1304","UBE4B"
"1305","SLC35D2"
"1306","SYNE1"
"1307","EDA2R"
"1308","ZNF141"
"1309","SH3BGRL"
"1310","PRR7"
"1311","NFATC1"
"1312","CAP1"
"1313","PPT1"
"1314","ABCB7"
"1315","HAUS8"
"1316","SH3BP5"
"1317","HACL1"
"1318","RFTN1"
"1319","NR1H2"
"1320","PDLIM4"
"1321","VPS25"
"1322","NDUFA2"
"1323","NDFIP1"
"1324","PPFIA1"
"1325","TRAF7"
"1326","MAP1B"
"1327","IL13RA1"
"1328","ZCCHC9"
"1329","RARA"
"1330","CHD1L"
"1331","PEX11B"
"1332","PIAS3"
"1333","PDHA1"
"1334","MCCC2"
"1335","RHPN2"
"1336","C19orf12"
"1337","FAAP24"
"1338","GCH1"
"1339","LGALS3"
"1340","PODNL1"
"1341","MATN3"
"1342","CCT6B"
"1343","PPARG"
