"","x"
"791","STK16"
"792","PPP1R7"
"793","HPCAL1"
"794","DCAF17"
"795","RMDN2"
"796","TRAK2"
"797","MSH6"
"798","PLEKHA3"
"799","DHCR24"
"800","LRRC42"
"801","MRPL37"
"802","STXBP3"
"803","PHF13"
"804","MECR"
"805","WDR77"
"806","HDAC1"
"807","SCAMP3"
"808","TRIM62"
"809","ARHGEF2"
"810","SRM"
"811","FBXO2"
"812","C1orf21"
"813","SWT1"
"814","LEPR"
"815","IVNS1ABP"
"816","SMG7"
"817","GADD45A"
"818","RGS2"
"819","CD58"
"820","MRPS15"
"821","GNPAT"
"822","TSNAX"
"823","RRAGC"
"824","AKT3"
"825","ST6GALNAC5"
"826","MFAP2"
"827","KDM5B"
"828","RGS4"
"829","GBP1"
"830","HMGCL"
"831","GALE"
"832","P3H1"
"833","SLC2A1"
"834","BLZF1"
"835","F3"
"836","DARS2"
"837","UTP25"
"838","RCOR3"
"839","STMN1"
"840","NSL1"
"841","RCN2"
"842","CTSD"
"843","STAG1"
"844","DDX59"
"845","B4GALT6"
"846","C1orf54"
"847","PHF3"
"848","TNFAIP3"
"849","RNF146"
"850","CCN2"
"851","MED28"
"852","MYL12B"
"853","FOXO3"
"854","RAB3GAP2"
"855","KLF12"
"856","HS1BP3"
"857","NDUFB3"
"858","UBE2B"
"859","KLF9"
"860","C1orf198"
"861","CTNNAL1"
"862","TRIM32"
"863","HSDL2"
"864","C19orf25"
"865","IFI27L2"
"866","NEK9"
"867","NPC2"
"868","DLST"
"869","ALDH6A1"
"870","YPEL5"
"871","BCL11A"
"872","IFIT3"
"873","PYROXD2"
"874","TCTN3"
"875","AVPI1"
"876","ARMH3"
"877","GOT1"
"878","HOXB5"
"879","HOXB3"
"880","RCL1"
"881","NUP43"
"882","MTHFD1L"
"883","CYSTM1"
"884","SNX19"
"885","KIAA1217"
"886","CCDC77"
"887","DNAJC15"
"888","PROSER1"
"889","UFM1"
"890","NR2C1"
"891","GLT8D2"
"892","MTERF2"
"893","WASHC3"
"894","APAF1"
"895","TNFRSF10B"
"896","PDLIM2"
"897","AKAP1"
"898","COIL"
"899","TRIM25"
"900","TBX2"
"901","FAM117A"
"902","TENT4B"
"903","PSPC1"
"904","A1BG"
"905","ZNF211"
"906","RNF2"
"907","SEC22A"
"908","PILRB"
"909","TBC1D15"
"910","ADGRB2"
"911","POLR3GL"
"912","TMEM54"
"913","LRIF1"
"914","CLCC1"
"915","MTIF3"
"916","MRPS2"
"917","ANXA11"
"918","SHLD2"
"919","TRMT13"
"920","SLC66A2"
"921","HERPUD2"
"922","INHBA"
"923","NT5C3A"
"924","TWIST1"
"925","SLC25A51"
"926","ACO1"
"927","KIAA1549"
"928","CALD1"
"929","SRGN"
"930","CHST3"
"931","BICC1"
"932","EGR2"
"933","P4HA1"
"934","RBM19"
"935","HVCN1"
"936","RNF11"
"937","SSPN"
"938","WDR83"
"939","NLN"
"940","CDK2"
"941","SMUG1"
"942","RAB9A"
"943","METTL8"
"944","LPGAT1"
"945","EXOSC9"
"946","B9D2"
"947","COQ8B"
"948","MXD4"
"949","CHPF"
"950","DNPEP"
"951","SLC12A4"
"952","ENKD1"
"953","SNX21"
"954","TTPAL"
"955","NCOA3"
"956","PMEPA1"
"957","BCAS4"
"958","NEURL2"
"959","MTRR"
"960","IQSEC2"
"961","MCEE"
"962","TRERF1"
"963","BTN2A2"
"964","SIRT5"
"965","NQO2"
"966","OARD1"
"967","H2BC11"
"968","CDKN1A"
"969","SSR1"
"970","LRRFIP1"
"971","BBS2"
"972","MT2A"
"973","ABCC4"
"974","DMAC2L"
"975","HS3ST3B1"
"976","GGA3"
"977","NUP85"
"978","SLC2A4RG"
"979","POLR1B"
"980","SLC25A23"
"981","GTF2F1"
"982","RTN2"
"983","RBCK1"
"984","TMX4"
"985","NRSN2"
"986","BMP2"
"987","DSTN"
"988","MRPS26"
"989","MMP24OS"
"990","HECTD3"
"991","PRDX5"
"992","IRF3"
"993","STAT5A"
"994","IFI6"
"995","ATG14"
"996","RHOJ"
"997","ZBTB1"
"998","SGPP1"
"999","PLEKHG3"
"1000","NUP214"
"1001","ARMCX1"
"1002","INTS11"
"1003","HIVEP3"
"1004","RAB3IP"
"1005","FGFRL1"
"1006","GNG11"
"1007","POR"
"1008","STYXL1"
"1009","GNAI1"
"1010","ZFP36"
"1011","RASL11B"
"1012","ADM2"
"1013","ASPHD2"
"1014","YWHAH"
"1015","A4GALT"
"1016","TPST2"
"1017","MPST"
"1018","TST"
"1019","LIF"
"1020","KRT17"
"1021","EMC4"
"1022","VGF"
"1023","FLNC"
"1024","CALU"
"1025","CCDC136"
"1026","LRRC17"
"1027","MYO1B"
"1028","ORMDL1"
"1029","EIF2AK4"
"1030","ICE2"
"1031","DUT"
"1032","CHAC1"
"1033","VPS13C"
"1034","ANAPC13"
"1035","PALLD"
"1036","USP6"
"1037","CD68"
"1038","PHF20L1"
"1039","MTUS1"
"1040","BCL2L2"
"1041","AJUBA"
"1042","DTD2"
"1043","MIS18BP1"
"1044","RHBDF2"
"1045","TTI2"
"1046","CDKN1C"
"1047","PLPPR3"
"1048","GAMT"
"1049","PUDP"
"1050","ECSIT"
"1051","CDC16"
"1052","LRCH2"
"1053","XPO7"
"1054","FAM98C"
"1055","BST2"
"1056","SLC27A1"
"1057","AFDN"
"1058","ACTN4"
"1059","ARPC1B"
"1060","PXDN"
"1061","GDF15"
"1062","HELZ2"
"1063","LSP1"
"1064","PAK4"
"1065","CEP85"
"1066","YIPF2"
"1067","SESN2"
"1068","SHFL"
"1069","SLC6A8"
"1070","ZNF331"
"1071","UBE4B"
"1072","SLC35D2"
"1073","ULBP2"
"1074","AKAP12"
"1075","SYNE1"
"1076","EDA2R"
"1077","SH3BGRL"
"1078","PRR7"
"1079","NFATC1"
"1080","CAP1"
"1081","ABCB7"
"1082","HAUS8"
"1083","SH3BP5"
"1084","HACL1"
"1085","RFTN1"
"1086","PDLIM4"
"1087","NDFIP1"
"1088","PPFIA1"
"1089","TRAF7"
"1090","NPHP4"
"1091","MAP1B"
"1092","ZCCHC9"
"1093","RARA"
"1094","CHD1L"
"1095","PEX11B"
"1096","PIAS3"
"1097","PDHA1"
"1098","MCCC2"
"1099","C19orf12"
"1100","FAAP24"
"1101","GCH1"
"1102","LGALS3"
"1103","PODNL1"
"1104","MATN3"
"1105","PPARG"
"1106","ENOSF1"
"1107","EFR3A"
"1108","PTPRE"
"1109","CLUH"
"1110","TMEM128"
"1111","POPDC3"
"1112","WBP2"
"1113","TRIM47"
"1114","REEP2"
"1115","PCBD2"
