"","x"
"2325","PDHB"
"2326","MPLKIP"
"2327","IRF2"
"2328","FILIP1L"
"2329","DTYMK"
"2330","MLKL"
"2331","RFWD3"
"2332","RAB31"
"2333","MTCL1"
"2334","HEXIM2"
"2335","SLC20A2"
"2336","ZSWIM1"
"2337","ADAM9"
"2338","ZNF30"
"2339","LRATD2"
"2340","DNAJC21"
"2341","GSTM4"
"2342","SHOX2"
"2343","ABHD15"
"2344","SNTB2"
"2345","ANKRD49"
"2346","ENHO"
"2347","ZNF608"
"2348","SLC35G2"
"2349","MFF"
"2350","PXDC1"
"2351","COMMD8"
"2352","IRS1"
"2353","ROR2"
"2354","AR"
"2355","HSPBAP1"
"2356","SLC25A6"
"2357","CHST14"
"2358","FAM110B"
"2359","ZNF354A"
"2360","ATF5"
"2361","CPT1C"
"2362","MN1"
"2363","NSMCE1"
"2364","RAB3B"
"2365","CD2BP2"
"2366","RGS14"
"2367","PRELID1"
"2368","THBS3"
"2369","SLC50A1"
"2370","PGM2"
"2371","SCN9A"
"2372","SDC2"
"2373","TM2D2"
"2374","PLEKHA2"
"2375","PCBP1"
"2376","DTWD2"
"2377","INO80E"
"2378","NFU1"
"2379","HIC2"
"2380","LUZP1"
"2381","HEXD"
"2382","CNBP"
"2383","RFNG"
"2384","HNRNPF"
"2385","TPST1"
"2386","TM4SF1"
"2387","KLF13"
"2388","TMEM42"
"2389","PUSL1"
"2390","ALCAM"
"2391","SIMC1"
"2392","HNRNPA3"
"2393","SIK2"
"2394","CCDC144A"
"2395","NANP"
"2396","ADPRM"
"2397","PWWP2A"
"2398","GON7"
"2399","FAXDC2"
"2400","CDK1"
"2401","UBB"
"2402","NFRKB"
"2403","SMAD1"
"2404","SEMA3E"
"2405","DCLK2"
"2406","KRT8"
"2407","ADORA2B"
"2408","MGMT"
"2409","DENND5B"
"2410","PYM1"
"2411","NPAS2"
"2412","NUDT9"
"2413","ELOVL6"
"2414","PFKFB3"
"2415","CDH2"
"2416","EMB"
"2417","ATF7"
"2418","SOCS6"
"2419","FOXN2"
"2420","USP32"
"2421","PPM1D"
"2422","AC093323.1"
"2423","MTSS1"
"2424","TMEM43"
"2425","CYTL1"
"2426","NUDT6"
"2427","ZNF160"
"2428","ZNF415"
"2429","PDGFD"
"2430","FEZ2"
"2431","C11orf24"
"2432","TRMT61B"
"2433","NRTN"
"2434","PRKCE"
"2435","JAGN1"
"2436","C9orf16"
"2437","ZNF692"
"2438","NETO2"
"2439","JUNB"
"2440","FAM241B"
"2441","PDE7B"
"2442","ZNF581"
"2443","ASXL1"
"2444","ZNF562"
"2445","PPID"
"2446","ETFDH"
"2447","ZNF584"
"2448","ENC1"
"2449","PLEKHG5"
"2450","RGS19"
"2451","RHNO1"
"2452","COL8A2"
"2453","PWWP2B"
"2454","PTEN"
"2455","RNASEH1"
"2456","TLN2"
"2457","ZNF217"
"2458","SCG2"
"2459","PPIH"
"2460","SYNPO"
"2461","LAMB2"
"2462","TEFM"
"2463","CEBPB"
"2464","PAIP1"
"2465","NEGR1"
"2466","CERS6"
"2467","TP53RK"
"2468","BPGM"
"2469","SUCLG2"
"2470","RCAN2"
"2471","ARNT2"
"2472","GTPBP2"
"2473","FGGY"
"2474","AFF1"
"2475","EFEMP2"
"2476","CORO1B"
"2477","CFL1"
"2478","TMCC1"
"2479","NAA16"
"2480","DCP2"
"2481","CES2"
"2482","EGFL7"
"2483","NBEA"
"2484","RNASEH2C"
"2485","SH3RF3"
"2486","DCAKD"
"2487","EVC2"
"2488","ESRRA"
"2489","RHOD"
"2490","MTX1"
"2491","PARP14"
"2492","MFSD4B"
"2493","IQCB1"
"2494","GPR137"
"2495","PPP1R3B"
"2496","TRIB1"
"2497","ARV1"
"2498","NAA20"
"2499","EHBP1L1"
"2500","THAP2"
"2501","PPP1R14B"
"2502","CCDC106"
"2503","SCAI"
"2504","LRFN4"
"2505","SLC19A1"
"2506","PSMD1"
"2507","TOMM20"
"2508","STAT5B"
"2509","RNF213"
"2510","PLK3"
"2511","GOLIM4"
"2512","RBM4B"
"2513","HOXB2"
"2514","C1QTNF1"
"2515","MARCHF3"
"2516","SWSAP1"
"2517","XXYLT1"
"2518","UBXN2A"
"2519","CEP19"
"2520","CTSF"
"2521","C16orf91"
"2522","FAM174A"
"2523","PRPF8"
"2524","ADCY6"
"2525","PITPNA"
"2526","ZWILCH"
"2527","C12orf76"
"2528","PELI3"
"2529","MRPL11"
"2530","IL20RB"
"2531","MSL2"
"2532","SLC29A2"
"2533","RESF1"
"2534","NR1D2"
"2535","FAM241A"
"2536","HRAS"
"2537","SRP72"
"2538","CEP135"
"2539","BTC"
"2540","RSRC1"
"2541","KLC2"
"2542","CHST2"
"2543","PDIK1L"
"2544","PACS1"
"2545","SH3BP5L"
"2546","PSMD2"
"2547","FAM131A"
"2548","DCTN2"
"2549","CTDSP2"
"2550","CENPS"
"2551","PHYKPL"
"2552","NRIP3"
"2553","PTPN2"
"2554","SCUBE2"
"2555","EIF1AD"
"2556","CCDC14"
"2557","DRAP1"
"2558","C11orf68"
"2559","RAB6A"
"2560","FOSL1"
"2561","SUGCT"
"2562","CCDC85B"
"2563","RMI2"
"2564","B3GNTL1"
"2565","SLC35E3"
"2566","SWI5"
"2567","ARL4D"
"2568","ORAI3"
"2569","NUPR1"
"2570","SSNA1"
"2571","SPHK1"
"2572","BNIP3"
"2573","MYPOP"
"2574","ZNF404"
"2575","RTTN"
"2576","ANAPC2"
"2577","COX8A"
"2578","ZSCAN2"
"2579","RNPEP"
"2580","DMRTA1"
"2581","DNAJC30"
"2582","SPRYD4"
"2583","WDR25"
"2584","PLAAT3"
"2585","B3GNT5"
"2586","FOXL1"
"2587","FOXC2"
"2588","CCDC121"
"2589","VSIG10"
"2590","METRNL"
"2591","WSB2"
"2592","SOX11"
"2593","PNMA1"
"2594","MUC20"
"2595","THAP4"
"2596","MTHFR"
"2597","DEAF1"
"2598","SIX5"
"2599","ZDHHC13"
"2600","SLC38A9"
"2601","WDR73"
"2602","EPS8L2"
"2603","B3GNT8"
"2604","PAWR"
"2605","SLC25A22"
"2606","RABEP2"
"2607","C18orf32"
"2608","GBA"
"2609","THAP5"
"2610","CRACR2B"
"2611","SUMO4"
"2612","CD151"
"2613","NECTIN3"
"2614","ANXA2R"
"2615","SVBP"
"2616","CCDC184"
"2617","ZBTB41"
"2618","UBE2N"
"2619","ARL6IP6"
"2620","ZNF354C"
"2621","DPY19L2"
"2622","LRRC75B"
"2623","BOLA1"
"2624","PDE4DIP"
"2625","ZNF518B"
"2626","LCORL"
"2627","PARD6G"
"2628","PLEC"
"2629","WDR6"
"2630","NT5DC1"
"2631","COX14"
"2632","P4HTM"
"2633","CTXN1"
"2634","SLC25A20"
"2635","EPM2AIP1"
"2636","CTNNBIP1"
"2637","GTPBP6"
"2638","CSRNP3"
"2639","DHFR2"
"2640","COX5A"
"2641","FAM219B"
"2642","CPNE7"
"2643","C5orf46"
"2644","MPI"
"2645","RFLNA"
"2646","EXOSC4"
"2647","ZBTB7A"
"2648","CTC1"
"2649","FBXO34"
"2650","SELENOW"
"2651","EIF3K"
"2652","MRFAP1L1"
"2653","C3orf38"
"2654","RRS1"
"2655","RCC2"
"2656","PER1"
"2657","FUCA1"
"2658","LDLRAD3"
"2659","SMCO3"
"2660","GATA2"
"2661","ARID3B"
"2662","ZBTB18"
"2663","C14orf28"
"2664","LBX2"
"2665","CDC42EP4"
"2666","WDR97"
"2667","ZNF154"
"2668","R3HDM2"
"2669","ZNF784"
"2670","C14orf119"
"2671","SSC5D"
"2672","DCTPP1"
"2673","ZADH2"
"2674","SEPTIN1"
"2675","TDRP"
"2676","CCDC66"
"2677","ZNF571"
"2678","MIGA1"
"2679","MB21D2"
"2680","PPA1"
"2681","GREM2"
"2682","D2HGDH"
"2683","OXTR"
"2684","ST20"
"2685","PITPNB"
"2686","BBS12"
"2687","ZFP82"
"2688","LSMEM1"
"2689","NQO1"
"2690","CHRM2"
"2691","F2R"
"2692","NPM1"
"2693","DHTKD1"
"2694","POLR2A"
"2695","TLCD5"
"2696","FRAT2"
"2697","LRRC75A"
"2698","AATK"
"2699","RNF135"
"2700","SGSH"
"2701","MAB21L2"
"2702","TNFSF15"
"2703","PHLDA2"
"2704","ZBTB20"
"2705","COPG1"
"2706","RELL1"
"2707","SLC35C1"
"2708","RNF41"
"2709","ZNF101"
"2710","ADO"
"2711","COA4"
"2712","PRKAG1"
"2713","RTKN2"
"2714","GET1"
"2715","TSEN54"
"2716","MRPS16"
"2717","RAD51B"
"2718","LDOC1"
"2719","EXT1"
"2720","ATP6AP2"
"2721","BACE2"
"2722","UBE2E2"
"2723","C8orf33"
"2724","C1S"
"2725","CLN8"
"2726","PLCXD1"
"2727","NXPH4"
"2728","EXOC7"
"2729","BGN"
"2730","FAM104B"
"2731","MXRA7"
"2732","ADI1"
"2733","ACTL10"
"2734","NTM"
"2735","TSKU"
"2736","ANXA2"
"2737","HOXB4"
"2738","PAQR7"
"2739","PAPPA"
"2740","CRIP2"
"2741","ACBD3"
"2742","ALG12"
"2743","ZNF721"
"2744","C11orf54"
"2745","CEP63"
"2746","SPATA13"
"2747","PYCR1"
"2748","SLC8A1"
"2749","SLC25A21"
"2750","AFMID"
"2751","GAS6"
"2752","TMEM119"
"2753","SMDT1"
"2754","RUVBL2"
"2755","NPIPA1"
"2756","SF3A3"
"2757","MEX3B"
"2758","UTP11"
"2759","SFXN4"
"2760","HMCES"
"2761","GPR1"
"2762","RFLNB"
"2763","TRIM52"
"2764","CMTM4"
"2765","CBX6"
"2766","TBL3"
"2767","ZNF703"
"2768","KIRREL1"
"2769","TOB2"
"2770","TTC32"
"2771","KMT5A"
"2772","SMTN"
"2773","COA3"
"2774","ST6GALNAC3"
"2775","CRELD2"
"2776","UBE2F"
"2777","H2AC20"
"2778","POU6F1"
"2779","ACTRT3"
"2780","WDR27"
"2781","DUSP8"
"2782","XPOT"
"2783","ZNF93"
"2784","SMIM10"
"2785","ARMCX2"
"2786","H1-10"
"2787","IMMP2L"
"2788","FMNL1"
"2789","NDUFA6"
"2790","TMEM121"
"2791","SIVA1"
"2792","BRF1"
"2793","SEMA4B"
"2794","NELFA"
"2795","ADSS1"
"2796","FAM43A"
"2797","DDX51"
