Species,Species_Details,Abbr,Abbr_Details,Name,Name_Details,Cell_Type,Well_Size,MSC_Media,Sample,Passage,Position,Absorbance_Rep,Absorbance_Value
Chimpanzee,Chimpanzee MSC,C4,C4 MSC,C40210,C40210 MSC,MSC,12W,2B,C4-M,p15+16+12,E8,4,0.171
Human,Human Adipocyte,H4,H4 Adipocyte,H28834,H28834 Adipocyte,Adipocyte,12W,2B,H4-A,p13+24+13,E9,1,0.236
Human,Human Adipocyte,H4,H4 Adipocyte,H28834,H28834 Adipocyte,Adipocyte,12W,2B,H4-A,p13+24+13,E10,2,0.225
Human,Human Adipocyte,H4,H4 Adipocyte,H28834,H28834 Adipocyte,Adipocyte,12W,2B,H4-A,p13+24+13,E11,3,0.224
Human,Human Adipocyte,H4,H4 Adipocyte,H28834,H28834 Adipocyte,Adipocyte,12W,2B,H4-A,p13+24+13,E12,4,0.185
Chimpanzee,Chimpanzee Adipocyte,C4,C4 Adipocyte,C40210,C40210 Adipocyte,Adipocyte,12W,2B,C4-A,p15+16+13,F1,1,0.459
Chimpanzee,Chimpanzee Adipocyte,C4,C4 Adipocyte,C40210,C40210 Adipocyte,Adipocyte,12W,2B,C4-A,p15+16+13,F2,2,0.474
Chimpanzee,Chimpanzee Adipocyte,C4,C4 Adipocyte,C40210,C40210 Adipocyte,Adipocyte,12W,2B,C4-A,p15+16+13,F3,3,0.484
Chimpanzee,Chimpanzee Adipocyte,C4,C4 Adipocyte,C40210,C40210 Adipocyte,Adipocyte,12W,2B,C4-A,p15+16+13,F4,4,0.391
Chimpanzee,Chimpanzee MSC,C5,C5 MSC,C40280,C40280 MSC,MSC,12W,2B,C5-M,p15+23+11,F5,1,0.327
Chimpanzee,Chimpanzee MSC,C5,C5 MSC,C40280,C40280 MSC,MSC,12W,2B,C5-M,p15+23+11,F6,2,0.361
Chimpanzee,Chimpanzee MSC,C5,C5 MSC,C40280,C40280 MSC,MSC,12W,2B,C5-M,p15+23+11,F7,3,0.361
Chimpanzee,Chimpanzee MSC,C5,C5 MSC,C40280,C40280 MSC,MSC,12W,2B,C5-M,p15+23+11,F8,4,0.261
Human,Human MSC,H5,H5 MSC,H21792,H21792 MSC,MSC,12W,2B,H5-M,p15+20+11,F9,1,0.38
Human,Human MSC,H5,H5 MSC,H21792,H21792 MSC,MSC,12W,2B,H5-M,p15+20+11,F10,2,0.376
Human,Human MSC,H5,H5 MSC,H21792,H21792 MSC,MSC,12W,2B,H5-M,p15+20+11,F11,3,0.377
Human,Human MSC,H5,H5 MSC,H21792,H21792 MSC,MSC,12W,2B,H5-M,p15+20+11,F12,4,0.213
Chimpanzee,Chimpanzee Adipocyte,C5,C5 Adipocyte,C40280,C40280 Adipocyte,Adipocyte,12W,2B,C5-A,p15+23+11,G1,1,0.899
Chimpanzee,Chimpanzee Adipocyte,C5,C5 Adipocyte,C40280,C40280 Adipocyte,Adipocyte,12W,2B,C5-A,p15+23+11,G2,2,0.95
Chimpanzee,Chimpanzee Adipocyte,C5,C5 Adipocyte,C40280,C40280 Adipocyte,Adipocyte,12W,2B,C5-A,p15+23+11,G3,3,0.938
Chimpanzee,Chimpanzee Adipocyte,C5,C5 Adipocyte,C40280,C40280 Adipocyte,Adipocyte,12W,2B,C5-A,p15+23+11,G4,4,0.498
Human,Human Adipocyte,H5,H5 Adipocyte,H21792,H21792 Adipocyte,Adipocyte,12W,2B,H5-A,p15+20+13,G5,1,0.49
Human,Human Adipocyte,H5,H5 Adipocyte,H21792,H21792 Adipocyte,Adipocyte,12W,2B,H5-A,p15+20+13,G6,2,0.495
