"","cell.subset","gene","logFC","FDR"
"230","Time 1","MEIOB",-8.26669186692827,5.56182423042729e-08
"231","Time 2","MEIOB",-7.86198907629529,3.71474057932311e-05
"232","Time 0","MTHFSD",-1.36342100119458,7.92639737053471e-05
"233","Time 1","MTHFSD",-1.27611236922466,5.54677680828508e-07
"234","Time 2","MTHFSD",-1.11686641322547,0.00483249442899333
"235","Time 0","MYL5",1.77463091504189,0.00923787534173149
"236","Time 1","MYL5",3.10669308746488,0.00139254085348003
"237","Time 2","MYL5",2.86839298909054,0.000278131812010279
"238","Time 0","NAA16",-0.59950055160637,0.00751698413199611
"239","Time 1","NAA16",-0.955188971788554,0.00404477413503459
"240","Time 2","NAA16",-0.850496782093622,0.0026875423469752
"241","Time 0","NEIL1",-0.997724715210415,0.00244575326722416
"242","Time 1","NEIL1",-1.58417006718395,0.00868955445700453
"243","Time 2","NEIL1",-1.20582594790481,0.00494079270271379
"244","Time 0","NPIPB5",1.67264427354147,1.03782256865256e-05
"245","Time 1","NPIPB5",2.36806565078677,0.000110089697516895
"246","Time 2","NPIPB5",2.49803777842384,0.000531360108909159
"247","Time 0","NSMCE1",-1.51845258016739,0.00306138238126713
"248","Time 1","NSMCE1",-1.57631060210367,0.00225934639045354
"249","Time 2","NSMCE1",-1.42306879401821,0.00449576362033139
"250","Time 0","OARD1",-0.912607710063154,0.000761677669364376
"251","Time 1","OARD1",-0.989107386475958,0.00122602206265777
"252","Time 2","OARD1",-0.843472785154496,0.00618316039328415
"253","Time 0","OCIAD2",2.19773928016974,0.00758411147880983
"254","Time 1","OCIAD2",5.44631842101689,0.0067252426089679
"255","Time 2","OCIAD2",5.10753459853291,0.00731899706231492
"256","Time 0","ORAI3",-1.83986781222875,2.21661890122985e-05
"257","Time 1","ORAI3",-1.88173595794117,0.00427757730771377
"258","Time 2","ORAI3",-1.86678733825574,0.00244608839918235
"259","Time 0","PBLD",-3.38069923196075,1.69480985828829e-06
"260","Time 1","PBLD",-1.63587583656919,0.00371827735836637
"261","Time 2","PBLD",-1.81592411697834,0.00412641300348344
"262","Time 0","PCNX3",1.03041111759158,0.00472737918510715
"263","Time 1","PCNX3",1.07040157169351,0.00468587887264472
"264","Time 2","PCNX3",1.48806154494531,0.00306419485315128
"265","Time 0","PDHA1",1.24303014427751,0.000809095938906506
"266","Time 1","PDHA1",1.42894066922888,0.000813383363392379
"267","Time 2","PDHA1",1.17907595843591,0.00113123026743928
"268","Time 0","PGAM5",1.97289455766525,1.44919089175908e-05
"269","Time 1","PGAM5",2.44039007701222,1.59651567058615e-05
"270","Time 2","PGAM5",1.86576884808876,0.000663535180525118
"271","Time 0","PHOSPHO2",-1.33957084569858,0.00119996867874083
"272","Time 1","PHOSPHO2",-1.42878055351669,0.00176362742779395
"273","Time 2","PHOSPHO2",-1.57111405452764,0.00214205142761242
"274","Time 0","PIGL",1.5150274146493,0.000106240081464547
"275","Time 1","PIGL",1.46654009724073,0.00450131042327672
"276","Time 2","PIGL",1.64925475588151,0.000693411433282768
"277","Time 0","POLR1B",-1.04145291078075,0.0012330459847614
"278","Time 1","POLR1B",-1.36464176623075,0.00218239019174028
"279","Time 2","POLR1B",-1.32170204818925,0.00150187954940125
"280","Time 0","PPP1R3F",0.882324674885957,0.00524378796319154
"281","Time 1","PPP1R3F",2.0235954409305,0.00288202233101531
"282","Time 2","PPP1R3F",2.45589074582377,0.00302747057279625
"283","Time 0","PRIM2",1.67133648657677,2.60095504224577e-05
